코드,아이템 이름,등급 색상
524,피콜로의 두건,standard
525,빨간 공룡의 가죽,standard
528,선두콩,standard
541,드래곤볼[7성구셋트],cyan
553,라데츠의 다리띠,standard
557,재배맨a의 눈물,standard
558,재배맨b의 눈물,standard
559,재배맨c의 눈물,standard
577,손오공의 추억,standard
589,재배맨s 퇴치[칭호],standard
590,초급자 신발,standard
597,카린의 증표Lv1 조합서,standard
598,카린의증표Lv1,standard
599,카린의 증표Lv2 조합서,standard
600,카린의증표Lv2,standard
601,카린의 증표Lv3 조합서,standard
602,카린의증표Lv3,standard
603,카린의 증표Lv4 조합서,standard
604,카린의증표Lv4,standard
605,카린의 증표Lv5 조합서,standard
606,카린의 증표Lv5,standard
607,카린의 증표Lv6 조합서,standard
608,카린의 증표Lv6,standard
609,카린의 증표Lv7 조합서,standard
610,카린의 증표Lv7,standard
611,카린의 증표Lv8 조합서,standard
612,카린의 증표Lv8,standard
613,카린의 증표Lv9 조합서,standard
614,카린의 증표Lv9,standard
615,카린의 증표Lv10 조합서,standard
616,카린의 증표Lv10,standard
617,카린의 증표Lv11 조합서,standard
618,카린의 증표Lv11,standard
619,카린의 증표Lv12 조합서,standard
620,카린의 증표Lv12,standard
637,나메크성인의 물약,standard
706,메카 프리저의 조각,standard
707,콜드대왕의 뿔,standard
747,인조인간 저지 [칭호],standard
785,마인의 물약,standard
846,마인부우의 신발,standard
910,기념주화,standard
921,각성책:천진반,standard
932,쿠우라의 갑옷[세트],standard
952,기념 주화V2,standard
999,새로운 시작[칭호],purple
1007,각성책:야무치,standard
1019,인조인간 스톤,standard
1035,나메크 드래곤볼[7성구셋트],cyan
1036,지구인의 생명,blue
1037,중급자 신발,standard
1039,드래곤볼 탐지기Lv2,standard
1045,학습의 물약Lv2,standard
1046,인조 물약,standard
1094,명절 선물셋트[Event],standard
1096,사오공의 낡은 여의봉,standard
1097,사오공의 낡은 도복,standard
1098,사오공의 여의봉 [유물],blue
1099,사오공의 도복 [유물],blue
1100,사오공의 가방 [유물],blue
1119,변신한 쟈넨바의 갑옷,purple
1126,변화의 물약Lv2,standard
1127,사오공의가방,standard
1129,변신한 쟈넨바의 힘[고유],purple
1159,낡은 손오반의 모자[유물],purple
1160,손오반의 모자[유물],purple
1161,여성용 리본[유물],purple
1162,부르마의 토끼띠[유물],purple
1163,개발용 헬멧[유물],green
1165,어둠의 물약,standard
1176,브로리의 힘 Lv3 [고유],purple
1177,오천크스의 낡은 수련팔찌,standard
1178,오천크스의 낡은  갑옷,standard
1179,오천크스의 수련팔찌 [유물],blue
1181,오천크스의 갑옷 [유물],blue
1182,오천크스의 가방 [유물],blue
1187,인조인간 슈퍼 13호의 오만 [칭호],blue
1190,브로리의 분노 Lv2 [고유],purple
1194,개발용 헬멧[+2],green
1199,자넨바의 낡은 팔찌,standard
1200,자넨바의 낡은 신발,standard
1201,자넨바 팔찌,blue
1202,자넨바 신발,blue
1203,자넨바 보석,blue
1205,나무꾼의 물약,standard
1208,브로리의 힘Lv3[고유],purple
1349,타임캡슐 우주선Lv1,cyan
1350,타임캡슐 우주선Lv2,cyan
1351,각성책:농부,standard
1352,타임캡슐 우주선Lv4,cyan
1353,자넨바의 낡은 팔찌 Lv2,standard
1354,자넨바의 낡은 신발 Lv2,standard
1355,자넨바의 팔찌 Lv2,blue
1356,자넨바의 신발 Lv2,blue
1357,자넨바의 보석 Lv2,blue
1362,브로리의 힘Lv4[고유],purple
1365,헬타임캡슐 우주선Lv1,cyan
